word,mean_abs_shap,mean_shap,count
heartlessness,0.7808684896638928,0.7808684896638928,1
fuel-guzzling,0.6332964868540876,0.6332964868540876,1
humiliating,0.5551711489582278,0.5551711489582278,1
doomed,0.5539793912986559,0.5539793912986559,1
gruesome,0.54808026076191,0.54808026076191,1
juggernaut,0.5291659697890282,0.5291659697890282,1
quixotic,0.5220041263770933,0.5220041263770933,1
mess,0.5086310408621406,0.5086310408621406,1
trumpism,0.5048552772398883,0.5048552772398883,1
anti-vaccine,0.4275045417714864,0.4275045417714864,1
demonizing,0.425622577148412,0.425622577148412,1
defying,0.4156649593205657,0.4156649593205657,1
unchecked,0.39853397458791734,0.39853397458791734,1
lied,0.37429781053215266,0.37429781053215266,1
propagandist,0.36524702881329824,0.36524702881329824,1
draconian,0.36127360207610765,0.36127360207610765,1
shadows,0.36095653274969663,0.36095653274969663,1
transphobic,0.3586583935814108,0.3586583935814108,1
denigrate,0.3551852247037459,0.3551852247037459,1
politically-powerful,0.3543543409420333,0.3543543409420333,1
supremacism,0.3527785857745801,0.3527785857745801,1
vicious,0.3486113178441883,0.3486113178441883,1
goddamn,0.33609853498637676,0.33609853498637676,1
terrorist,0.3250139971874887,0.3250139971874887,2
frenzy,0.3242829704790243,0.3242829704790243,1
ideology,0.32190848211041434,0.32190848211041434,4
often-astronomical,0.3204980766637683,0.3204980766637683,1
swipe,0.3198565218190197,0.3198565218190197,1
outrageous,0.3193259429694577,0.3193259429694577,1
endless,0.3189295003830921,0.3189295003830921,1
exorbitant,0.3161343213015546,0.3161343213015546,1
berated,0.3149049810381257,0.3149049810381257,1
aggressors,0.3068256665719673,0.3068256665719673,1
tragically,0.2962907032871788,0.2962907032871788,1
fumbling,0.28854625718668103,0.28854625718668103,1
ignorance,0.28836745871230957,0.28836745871230957,1
argued,0.2832658902708707,-0.2832658902708707,1
statist,0.2812469303898979,0.2812469303898979,1
propaganda,0.27338683357546956,0.27338683357546956,1
universe,0.2729907725006342,0.2729907725006342,1
foul-mouthed,0.26945986902574076,0.26945986902574076,1
scourge,0.2674842967753648,0.2674842967753648,1
dictator,0.26666903131020564,0.26666903131020564,1
boasted,0.2646238275192445,0.2646238275192445,1
so-called,0.26221680826986105,0.26221680826986105,3
bombshell,0.2584497655858286,0.2584497655858286,1
terrifying,0.2576722800731659,0.2576722800731659,1
corrupt,0.25660068831348326,0.25660068831348326,1
flunky,0.2557890272635119,0.2557890272635119,1
worsens,0.2511507170740515,0.2511507170740515,1
““free””,0.2500017329584807,0.2500017329584807,1
irony,0.24830096488585696,0.24830096488585696,1
devalue,0.24351224881441644,0.24351224881441644,1
utter,0.23346139428516227,0.23346139428516227,1
““preventive””,0.22657463429163077,0.22657463429163077,1
subversive,0.22387853124051948,0.22387853124051948,1
leftist,0.22203877111314796,0.22203877111314796,1
radical,0.2205261058891214,0.2205261058891214,8
endemic,0.2200391571968794,0.2200391571968794,1
reported,0.21889231633394957,-0.21889231633394957,1
foaming,0.21763275674311444,0.21763275674311444,1
anti-vaxxers,0.21621996979229152,0.21621996979229152,2
anti-trump,0.21570686395280064,0.21570686395280064,1
bizarre,0.21524078160356833,0.21524078160356833,2
wacky,0.21477833705139346,0.21477833705139346,1
suggested,0.21423105967696757,-0.21423105967696757,1
savage,0.21332618115203722,0.21332618115203722,1
racist,0.20943617860653574,0.20943617860653574,1
big,0.20669575897045434,0.20669575897045434,1
secretly,0.20667016858028042,0.20667016858028042,1
selflessness,0.2064107904676348,0.2064107904676348,1
hamper,0.2056830010842532,0.2056830010842532,1
