word,mean_abs_shap,mean_shap,count
boasted,0.7446121915418189,0.7446121915418189,1
bloated,0.6796818143338896,0.6796818143338896,1
dubious,0.5927687268413138,0.5927687268413138,1
antisemitic.,0.5873570283874869,0.5873570283874869,1
skeptics,0.5743572801584378,0.5743572801584378,1
relentlessly,0.5632959343492985,0.5632959343492985,1
"flagrantly,",0.5509637739160098,0.5509637739160098,1
misleading,0.5378407700918615,0.5378407700918615,1
toothless““,0.5181937252636999,0.5181937252636999,1
frantically,0.4503764051478356,0.4503764051478356,1
sided,0.4106173135805875,0.4106173135805875,1
mess:,0.4067533750154932,0.4067533750154932,1
quixotic,0.39605708196759226,0.39605708196759226,1
lashed,0.3878654157742858,0.3878654157742858,1
denigrate,0.38623630395159125,0.38623630395159125,1
juggernaut,0.3853666309732944,0.3853666309732944,1
bizarre,0.3555570989847183,0.3555570989847183,1
"vaccine,",0.3553797914646566,-0.3553797914646566,1
said’’,0.3544980428996496,-0.3544980428996496,1
opponents,0.34751906944438815,-0.34751906944438815,1
uglier,0.3398778534028679,0.3398778534028679,1
blown,0.33650933345779777,0.33650933345779777,1
left',0.3248454052954912,0.3248454052954912,1
nasty,0.3206295119598508,0.3206295119598508,1
breitbart,0.31625215138774365,0.31625215138774365,1
hard,0.3043454185826704,0.3043454185826704,1
loves,0.29097789933439344,0.29097789933439344,1
arrested,0.28797347098588943,-0.28797347098588943,1
ranted,0.2879083901643753,0.2879083901643753,1
illegal,0.27925976117420487,0.27925976117420487,6
revered,0.2784990267828107,0.2784990267828107,1
ghouls,0.26350831566378474,0.26350831566378474,2
nationalism.,0.26092173578217626,0.26092173578217626,1
stinging,0.25964051485061646,0.25964051485061646,1
alien,0.2484605856006965,0.2484605856006965,1
big,0.24806218314915895,0.24806218314915895,1
vigorously,0.24333972146268934,0.24333972146268934,1
argue,0.23864120547659695,0.23864120547659695,1
crusade,0.23527985741384327,0.23527985741384327,1
"surprisingly,",0.2317712614312768,0.2317712614312768,1
"rise,",0.2307470003142953,-0.2307470003142953,1
racists,0.22969326563179493,0.22969326563179493,1
"vocal,",0.2288681849022396,-0.2288681849022396,1
