method,percentile_or_K,model,pred_class,category,proportion,n_selected
threshold_p75,0.040638,biasdetector,FP,Framing/Reporting Verbs,2.1645021645021645,231
threshold_p75,0.040638,biasdetector,FP,Function/Temporal Words,6.926406926406926,231
threshold_p75,0.040638,daroberta,TP,Emotional/Evaluative,96.66666666666667,330
threshold_p75,0.040638,daroberta,TP,Explicit Bias Terms,0.6060606060606061,330
threshold_p75,0.040638,daroberta,TP,Framing/Reporting Verbs,2.4242424242424243,330
threshold_p75,0.040638,daroberta,TP,Function/Temporal Words,0.30303030303030304,330
threshold_p75,0.040638,daroberta,FP,Emotional/Evaluative,87.17948717948718,39
threshold_p75,0.040638,daroberta,FP,Explicit Bias Terms,0.0,39
threshold_p75,0.040638,daroberta,FP,Framing/Reporting Verbs,7.6923076923076925,39
threshold_p75,0.040638,daroberta,FP,Function/Temporal Words,5.128205128205129,39
